Season,Class,Circuit,Rider's Nation
2019,MotoGP,Silverstone Circuit,SPAIN
2019,Moto2,Le Mans,SPAIN
2019,MotoGP,Circuito de Jerez - Angel Nieto,SPAIN
2018,Moto3,Chang International Circuit,ITALY
2018,MotoGP,TT Circuit Assen,SPAIN
2017,Moto3,Circuit Ricardo Tormo,SPAIN
2017,Moto3,Twin Ring Motegi,ITALY
2017,MotoGP,MotorLand Aragón,SPAIN
2017,MotoGP,Automotodrom Brno,SPAIN
2017,MotoGP,Circuito de Jerez - Angel Nieto,SPAIN
2016,Moto3,TT Circuit Assen,ITALY
2015,MotoGP,Circuit Ricardo Tormo,SPAIN
2015,MotoGP,Silverstone Circuit,ITALY
2015,Moto3,Le Mans,ITALY
2015,MotoGP,Losail International Circuit,ITALY
2014,MotoGP,Sachsenring,SPAIN
2014,MotoGP,Termas de Río Hondo,SPAIN
2013,MotoGP,Circuit Ricardo Tormo,SPAIN
2013,MotoGP,Twin Ring Motegi,SPAIN
2013,Moto3,Phillip Island,SPAIN
2013,MotoGP,Sepang International Circuit,SPAIN
2013,Moto3,MotorLand Aragón,SPAIN
2013,Moto2,MotorLand Aragón,SPAIN
2013,MotoGP,Misano World Circuit Marco Simoncelli,SPAIN
2013,Moto3,Misano World Circuit Marco Simoncelli,SPAIN
2013,MotoGP,Silverstone Circuit,SPAIN
2013,Moto3,Silverstone Circuit,SPAIN
2013,MotoGP,Automotodrom Brno,SPAIN
2013,MotoGP,Indianapolis Motor Speedway,SPAIN
2013,Moto3,Indianapolis Motor Speedway,SPAIN
2013,Moto3,Sachsenring,SPAIN
2013,Moto3,TT Circuit Assen,SPAIN
2013,MotoGP,Circuit de Barcelona-Catalunya,SPAIN
2013,Moto3,Circuit de Barcelona-Catalunya,SPAIN
2013,Moto3,Autodromo Internazionale del Mugello,SPAIN
2013,Moto3,Le Mans,SPAIN
2013,MotoGP,Circuito de Jerez - Angel Nieto,SPAIN
2013,MotoGP,Circuit Of The Americas,SPAIN
2013,Moto3,Circuit Of The Americas,SPAIN
2013,Moto3,Losail International Circuit,SPAIN
2012,Moto2,Circuit Ricardo Tormo,SPAIN
2012,Moto2,Twin Ring Motegi,SPAIN
2012,MotoGP,Twin Ring Motegi,SPAIN
2012,Moto2,Indianapolis Motor Speedway,SPAIN
2011,125cc,Circuit Ricardo Tormo,SPAIN
2011,Moto2,Indianapolis Motor Speedway,SPAIN
2011,125cc,TT Circuit Assen,SPAIN
2011,125cc,Le Mans,SPAIN
2010,125cc,Phillip Island,SPAIN
2010,125cc,Sepang International Circuit,SPAIN
2010,125cc,Misano World Circuit Marco Simoncelli,SPAIN
2010,125cc,Automotodrom Brno,SPAIN
2010,125cc,TT Circuit Assen,SPAIN
2010,125cc,Autodromo Internazionale del Mugello,SPAIN
2010,125cc,Le Mans,SPAIN
2010,125cc,Circuito de Jerez - Angel Nieto,SPAIN
2010,125cc,Losail International Circuit,SPAIN
2009,125cc,Sachsenring,SPAIN
2006,MotoGP,Twin Ring Motegi,ITALY
2006,125cc,Circuit de Barcelona-Catalunya,SPAIN
2006,125cc,Istanbul Park Circuit,SPAIN
2005,MotoGP,Automotodrom Brno,ITALY
2005,MotoGP,Autodromo Internazionale del Mugello,ITALY
2004,125cc,Twin Ring Motegi,ITALY
2003,MotoGP,Estoril Circuit,ITALY
2003,MotoGP,Autodromo Internazionale del Mugello,ITALY
2003,MotoGP,Suzuka,ITALY
2001,500cc,Phillip Island,ITALY
2001,500cc,TT Circuit Assen,ITALY
2001,500cc,Circuit de Barcelona-Catalunya,ITALY
2000,500cc,Phillip Island,ITALY
2000,125cc,Phillip Island,JAPAN
2000,125cc,Suzuka,JAPAN
2000,250cc,Suzuka,JAPAN
2000,250cc,Phakisa Freeway,JAPAN
1998,250cc,Imola,ITALY
1998,250cc,Suzuka,JAPAN
1998,125cc,Suzuka,JAPAN
1997,125cc,Phillip Island,JAPAN
1997,250cc,Autodromo Internazionale del Mugello,ITALY
1997,250cc,Suzuka,JAPAN
1997,125cc,Suzuka,JAPAN
1996,125cc,Suzuka,JAPAN
1995,125cc,Automotodrom Brno,JAPAN
1995,125cc,Suzuka,JAPAN
1995,125cc,Eastern Creek,JAPAN
1994,250cc,Circuit de Barcelona-Catalunya,ITALY
1994,250cc,Le Mans,ITALY
1994,125cc,Le Mans,JAPAN
1994,125cc,Autodromo Internazionale del Mugello,JAPAN
1994,250cc,Hockenheim,ITALY
1994,250cc,Salzburgring,ITALY
1994,125cc,Suzuka,JAPAN
1994,250cc,Eastern Creek,ITALY
1993,250cc,Mazda Raceway,ITALY
1993,250cc,Shah Alam,JAPAN
1993,500cc,Eastern Creek,UNITED STATES
1992,250cc,Kyalami,ITALY
1992,500cc,Interlagos,UNITED STATES
1992,250cc,Interlagos,ITALY
1992,250cc,Donington Park,ITALY
1992,250cc,Magny Cours,ITALY
1992,500cc,Hungaroring,UNITED STATES
1992,250cc,TT Circuit Assen,ITALY
1992,125cc,TT Circuit Assen,ITALY
1992,250cc,Hockenheim,ITALY
1992,250cc,Circuit de Barcelona-Catalunya,ITALY
1992,125cc,Circuit de Barcelona-Catalunya,ITALY
1992,250cc,Autodromo Internazionale del Mugello,ITALY
1991,125cc,Automotodrom Brno,ITALY
1991,125cc,Misano World Circuit Marco Simoncelli,ITALY
1990,125cc,Phillip Island,ITALY
1990,500cc,Donington Park,UNITED STATES
1990,500cc,TT Circuit Assen,UNITED STATES
1989,500cc,Goiania,UNITED STATES
1989,80cc,Automotodrom Brno,SPAIN
1989,500cc,Automotodrom Brno,UNITED STATES
1989,500cc,Donington Park,UNITED STATES
1989,500cc,Le Mans,UNITED STATES
1989,500cc,Spa-Francorchamps,UNITED STATES
1989,500cc,Rijeka,UNITED STATES
1989,500cc,Salzburgring,UNITED STATES
1989,500cc,Mazda Raceway,UNITED STATES
1989,500cc,Suzuka,UNITED STATES
1988,80cc,Nurburgring,SPAIN
1988,80cc,Circuito de Jerez - Angel Nieto,SPAIN
1987,125cc,Anderstorp,ITALY
1987,125cc,Le Mans,ITALY
1987,125cc,TT Circuit Assen,ITALY
1987,125cc,Salzburgring,ITALY
1987,80cc,Circuito de Jerez - Angel Nieto,SPAIN
1987,125cc,Circuito de Jerez - Angel Nieto,ITALY
1986,125cc,Anderstorp,ITALY
1986,125cc,TT Circuit Assen,ITALY
1986,125cc,Nurburgring,ITALY
1986,500cc,Monza,UNITED STATES
1986,80cc,Jarama,SPAIN
1986,125cc,Jarama,ITALY
1985,125cc,Misano World Circuit Marco Simoncelli,ITALY
1985,250cc,Silverstone Circuit,GERMANY
1985,125cc,TT Circuit Assen,ITALY
1985,125cc,Jarama,ITALY
1984,125cc,Autodromo Internazionale del Mugello,ITALY
1984,500cc,Paul Ricard,UNITED STATES
1984,500cc,Nurburgring,UNITED STATES
1984,500cc,Salzburgring,UNITED STATES
1983,500cc,Imola,UNITED STATES
1983,250cc,Silverstone Circuit,FRANCE
1983,500cc,Silverstone Circuit,UNITED STATES
1983,500cc,Spa-Francorchamps,UNITED STATES
1983,500cc,Rijeka,UNITED STATES
1983,500cc,Salzburgring,UNITED STATES
1983,500cc,Monza,UNITED STATES
1978,250cc,Spa-Francorchamps,ITALY
1977,250cc,Automotodrom Brno,ITALY
