Season,Category,Circuit,Rider,Country,Constructor
2020,Moto2,Losail International Circuit,Tetsuta Nagashima,JAPAN,Kalex
2020,Moto3,Losail International Circuit,Albert Arenas,SPAIN,KTM
2019,MotoE,Circuit Ricardo Tormo,Eric Granado,BRAZIL,Energica
2019,MotoGP,Circuit Ricardo Tormo,Marc Marquez,SPAIN,Honda
2019,Moto2,Circuit Ricardo Tormo,Brad Binder,SOUTH AFRICA,KTM
2019,Moto3,Circuit Ricardo Tormo,Sergio Garcia,SPAIN,Honda
2019,MotoE,Circuit Ricardo Tormo,Eric Granado,BRAZIL,Energica
2019,MotoGP,Sepang International Circuit,Maverick Viñales,SPAIN,Yamaha
2019,Moto2,Sepang International Circuit,Brad Binder,SOUTH AFRICA,KTM
2019,Moto3,Sepang International Circuit,Lorenzo Dalla Porta,ITALY,Honda
2019,MotoGP,Phillip Island,Marc Marquez,SPAIN,Honda
2019,Moto2,Phillip Island,Brad Binder,SOUTH AFRICA,KTM
2019,Moto3,Phillip Island,Lorenzo Dalla Porta,ITALY,Honda
2019,MotoGP,Twin Ring Motegi,Marc Marquez,SPAIN,Honda
2019,Moto2,Twin Ring Motegi,Luca Marini,ITALY,Kalex
2019,Moto3,Twin Ring Motegi,Lorenzo Dalla Porta,ITALY,Honda
2019,MotoGP,Chang International Circuit,Marc Marquez,SPAIN,Honda
2019,Moto2,Chang International Circuit,Luca Marini,ITALY,Kalex
2019,Moto3,Chang International Circuit,Albert Arenas,SPAIN,KTM
2019,MotoGP,MotorLand Aragón,Marc Marquez,SPAIN,Honda
2019,Moto2,MotorLand Aragón,Brad Binder,SOUTH AFRICA,KTM
2019,Moto3,MotorLand Aragón,Aron Canet,SPAIN,KTM
2019,MotoE,Misano World Circuit Marco Simoncelli,Matteo Ferrari,ITALY,Energica
2019,MotoGP,Misano World Circuit Marco Simoncelli,Marc Marquez,SPAIN,Honda
2019,Moto2,Misano World Circuit Marco Simoncelli,Augusto Fernandez,SPAIN,Kalex
2019,Moto3,Misano World Circuit Marco Simoncelli,Tatsuki Suzuki,JAPAN,Honda
2019,MotoE,Misano World Circuit Marco Simoncelli,Matteo Ferrari,ITALY,Energica
