Rider,Season,Category,Starts,1st,2nd,3rd,Tot.,Poles,Bike,Points,Pos.
Marc Marquez,2019,MotoGP,19,12,6,0,18,10,Honda,420,1
Marc Marquez,2018,MotoGP,18,9,4,1,14,7,Honda,321,1
Marc Marquez,2017,MotoGP,18,6,4,2,12,8,Honda,298,1
Marc Marquez,2016,MotoGP,18,5,4,3,12,7,Honda,298,1
Marc Marquez,2015,MotoGP,18,5,4,0,9,8,Honda,242,3
Marc Marquez,2014,MotoGP,18,13,1,0,14,13,Honda,362,1
Marc Marquez,2013,MotoGP,18,6,6,4,16,9,Honda,334,1
Marc Marquez,2012,Moto2,17,9,3,2,14,7,Suter,328,1
Marc Marquez,2011,Moto2,15,7,3,1,11,7,Suter,251,2
Marc Marquez,2010,125cc,17,10,0,2,12,12,Derbi,310,1
Marc Marquez,2009,125cc,16,0,0,1,1,2,KTM,94,8
Marc Marquez,2008,125cc,13,0,0,1,1,0,KTM,63,13
Miguel Oliveira,2019,MotoGP,16,0,0,0,0,0,KTM,33,17
Miguel Oliveira,2018,Moto2,18,3,5,4,12,0,KTM,297,2
Miguel Oliveira,2017,Moto2,18,3,2,4,9,2,KTM,241,3
Miguel Oliveira,2016,Moto2,14,0,0,0,0,0,Kalex,36,21
Miguel Oliveira,2015,Moto3,17,6,3,0,9,1,KTM,254,2
Miguel Oliveira,2014,Moto3,17,0,0,1,1,0,Mahindra,110,10
Miguel Oliveira,2013,Moto3,17,0,0,1,1,1,Mahindra,150,6
Miguel Oliveira,2012,Moto3,17,0,1,1,2,0,Suter Honda,114,8
Miguel Oliveira,2011,125cc,11,0,0,0,0,0,Aprilia,44,14
Alex Marquez,2019,Moto2,19,5,2,3,10,6,Kalex,262,1
Alex Marquez,2018,Moto2,18,0,2,4,6,3,Kalex,173,4
Alex Marquez,2017,Moto2,17,3,2,1,6,3,Kalex,201,4
Alex Marquez,2016,Moto2,17,0,1,0,1,0,Kalex,69,13
Alex Marquez,2015,Moto2,18,0,0,0,0,0,Kalex,73,14
Alex Marquez,2014,Moto3,18,3,6,1,10,3,Honda,278,1
Alex Marquez,2013,Moto3,17,1,1,3,5,0,KTM,213,4
Alex Marquez,2012,Moto3,11,0,0,0,0,0,Suter Honda,27,20
Francesco Bagnaia,2019,MotoGP,18,0,0,0,0,0,Ducati,54,15
Francesco Bagnaia,2018,Moto2,18,8,1,3,12,6,Kalex,306,1
Francesco Bagnaia,2017,Moto2,18,0,2,2,4,0,Kalex,174,5
Francesco Bagnaia,2016,Moto3,18,2,1,3,6,1,Mahindra,145,4
Francesco Bagnaia,2015,Moto3,18,0,0,1,1,0,Mahindra,76,14
Francesco Bagnaia,2014,Moto3,16,0,0,0,0,0,KTM,50,16
Francesco Bagnaia,2013,Moto3,17,0,0,0,0,0,FTR Honda,0,
Tito Rabat,2019,MotoGP,17,0,0,0,0,0,Ducati,23,20
Tito Rabat,2018,MotoGP,11,0,0,0,0,0,Ducati,35,19
Tito Rabat,2017,MotoGP,18,0,0,0,0,0,Honda,35,19
Tito Rabat,2016,MotoGP,17,0,0,0,0,0,Honda,29,21
Tito Rabat,2015,Moto2,15,3,4,3,10,3,Kalex,231,3
Tito Rabat,2014,Moto2,18,7,3,4,14,11,Kalex,346,1
Tito Rabat,2013,Moto2,16,3,3,1,7,2,Kalex,216,3
Tito Rabat,2012,Moto2,17,0,0,1,1,0,Kalex,117,7
Tito Rabat,2011,Moto2,17,0,0,1,1,0,FTR,79,10
Tito Rabat,2010,125cc,17,0,0,2,2,0,Aprilia,147,6
Tito Rabat,2009,125cc,16,0,0,0,0,0,Aprilia,37,18
Tito Rabat,2008,125cc,16,0,0,0,0,0,KTM,49,14
Tito Rabat,2007,125cc,15,0,0,1,1,0,Honda,74,11
Tito Rabat,2006,125cc,11,0,0,0,0,0,Honda,11,23
Tito Rabat,2005,125cc,1,0,0,0,0,0,Honda,0,
Valentino Rossi,2019,MotoGP,19,0,2,0,2,0,Yamaha,174,7
Valentino Rossi,2018,MotoGP,18,0,1,4,5,1,Yamaha,198,3
Valentino Rossi,2017,MotoGP,17,1,3,2,6,0,Yamaha,208,5
Valentino Rossi,2016,MotoGP,18,2,6,2,10,3,Yamaha,249,2
Valentino Rossi,2015,MotoGP,18,4,3,8,15,1,Yamaha,325,2
Valentino Rossi,2014,MotoGP,18,2,6,5,13,1,Yamaha,295,2
Valentino Rossi,2013,MotoGP,18,1,1,4,6,0,Yamaha,237,4
Valentino Rossi,2012,MotoGP,18,0,2,0,2,0,Ducati,163,6
Valentino Rossi,2011,MotoGP,17,0,0,1,1,0,Ducati,139,7
Valentino Rossi,2010,MotoGP,14,2,2,6,10,1,Yamaha,233,3
Valentino Rossi,2009,MotoGP,17,6,5,2,13,7,Yamaha,306,1
Valentino Rossi,2008,MotoGP,18,9,5,2,16,2,Yamaha,373,1
Valentino Rossi,2007,MotoGP,18,4,3,1,8,4,Yamaha,241,3
Valentino Rossi,2006,MotoGP,17,5,4,1,10,5,Yamaha,247,2
Valentino Rossi,2005,MotoGP,17,11,3,2,16,5,Yamaha,367,1
Valentino Rossi,2004,MotoGP,16,9,2,0,11,5,Yamaha,304,1
Valentino Rossi,2003,MotoGP,16,9,5,2,16,9,Honda,357,1
Valentino Rossi,2002,MotoGP,16,11,4,0,15,7,Honda,355,1
Valentino Rossi,2001,500cc,16,11,1,1,13,4,Honda,325,1
Valentino Rossi,2000,500cc,16,2,3,5,10,0,Honda,209,2
Valentino Rossi,1999,250cc,16,9,2,1,12,5,Aprilia,309,1
Valentino Rossi,1998,250cc,14,5,3,1,9,0,Aprilia,201,2
Valentino Rossi,1997,125cc,15,11,1,1,13,4,Aprilia,321,1
Valentino Rossi,1996,125cc,15,1,0,1,2,1,Aprilia,111,9
Pol Espargaro,2019,MotoGP,18,0,0,0,0,0,KTM,100,11
Pol Espargaro,2018,MotoGP,15,0,0,1,1,0,KTM,51,14
Pol Espargaro,2017,MotoGP,18,0,0,0,0,0,KTM,55,17
Pol Espargaro,2016,MotoGP,17,0,0,0,0,0,Yamaha,134,8
Pol Espargaro,2015,MotoGP,18,0,0,0,0,0,Yamaha,114,9
Pol Espargaro,2014,MotoGP,18,0,0,0,0,0,Yamaha,136,6
Pol Espargaro,2013,Moto2,17,6,1,3,10,6,Kalex,265,1
Pol Espargaro,2012,Moto2,17,4,5,2,11,8,Kalex,269,2
Pol Espargaro,2011,Moto2,17,0,1,1,2,0,FTR,75,13
Pol Espargaro,2010,125cc,17,3,5,4,12,0,Derbi,281,3
Pol Espargaro,2009,125cc,16,2,0,3,5,1,Derbi,174,4
Pol Espargaro,2008,125cc,14,0,2,1,3,2,Derbi,124,9
Pol Espargaro,2007,125cc,17,0,0,1,1,0,Aprilia,110,9
Pol Espargaro,2006,125cc,7,0,0,0,0,0,Derbi,19,20
Jack Miller,2019,MotoGP,19,0,0,5,5,0,Ducati,165,8
Jack Miller,2018,MotoGP,18,0,0,0,0,1,Ducati,91,13
Jack Miller,2017,MotoGP,17,0,0,0,0,0,Honda,82,11
Jack Miller,2016,MotoGP,13,1,0,0,1,0,Honda,57,18
Jack Miller,2015,MotoGP,18,0,0,0,0,0,Honda,17,19
Jack Miller,2014,Moto3,18,6,1,3,10,8,KTM,276,2
Jack Miller,2013,Moto3,17,0,0,0,0,0,FTR Honda,110,7
Jack Miller,2012,Moto3,14,0,0,0,0,0,Honda,17,23
Jack Miller,2011,125cc,6,0,0,0,0,0,KTM,0,
