Rider,Grand Prix victories,2nd Positions,3rd Positions,Podiums,Poles,Race fastest lap,World Championship wins,Country
Andrea Dovizioso,23,39,39,101,20,22,1,Italy
Johann Zarco,16,17,14,47,23,16,2,France
Danilo Petrucci,1,4,4,9,0,2,0,Italy
Maverick Viñales,23,20,20,63,20,21,1,Spain
Fabio Quartararo,1,8,2,11,9,3,0,France
Franco Morbidell,8,5,8,21,6,13,1,Italy
Iker Lecuona,0,1,1,2,0,0,0,Spain
Andrea Iannone,13,8,14,35,10,17,0,Italy
Takaaki Nakagami,2,4,8,14,5,1,0,Japan
Brad Binder,15,12,8,35,7,10,1,RSA
Cal Crutchlow,3,6,10,19,4,4,0,GBR
Joan Mir,11,5,4,20,2,6,1,Spain
Aleix Espargaro,0,1,1,2,2,0,0,Spain
Alex Rins,14,19,15,48,17,14,0,Spain
Jack Miller,7,1,8,16,9,2,0,Aus
Pol Espargaro,15,14,16,45,17,15,1,Spain
Valentino Rossi,115,67,52,234,65,96,9,Italy
Tito Rabat,13,10,13,36,16,11,1,Spain
Francesco Bagnaia,10,4,9,23,7,5,1,Italy
Alex Marquez,12,14,12,38,15,17,2,Spain
Miguel Oliveira,12,11,11,34,4,10,0,Portugal
Marc Marquez,82,35,17,134,90,72,8,Spain
