Season,Category,Rider,Country,Constructor
2019,MotoE,Matteo Ferrari,ITALY,Energica
2019,MotoGP,Marc Marquez,SPAIN,Honda
2019,Moto2,Alex Marquez,SPAIN,Kalex
2019,Moto3,Lorenzo Dalla Porta,ITALY,Honda
2018,MotoGP,Marc Marquez,SPAIN,Honda
2018,Moto2,Francesco Bagnaia,ITALY,Kalex
2018,Moto3,Jorge Martin,SPAIN,Honda
2017,MotoGP,Marc Marquez,SPAIN,Honda
2017,Moto2,Franco Morbidelli,ITALY,Kalex
2017,Moto3,Joan Mir,SPAIN,Honda
2016,MotoGP,Marc Marquez,SPAIN,Honda
2016,Moto2,Johann Zarco,FRANCE,Kalex
2016,Moto3,Brad Binder,SOUTH AFRICA,KTM
2015,MotoGP,Jorge Lorenzo,SPAIN,Yamaha
2015,Moto2,Johann Zarco,FRANCE,Kalex
2015,Moto3,Danny Kent,GREAT BRITAIN,Honda
2014,MotoGP,Marc Marquez,SPAIN,Honda
2014,Moto2,Tito Rabat,SPAIN,Kalex
2014,Moto3,Alex Marquez,SPAIN,Honda
2013,MotoGP,Marc Marquez,SPAIN,Honda
2013,Moto2,Pol Espargaro,SPAIN,Kalex
2013,Moto3,Maverick Viñales,SPAIN,KTM
2012,MotoGP,Jorge Lorenzo,SPAIN,Yamaha
2012,Moto2,Marc Marquez,SPAIN,Suter
2012,Moto3,Sandro Cortese,GERMANY,KTM
2011,125cc,Nicolas Terol,SPAIN,Aprilia
2011,MotoGP,Casey Stoner,AUSTRALIA,Honda
2011,Moto2,Stefan Bradl,GERMANY,Kalex
2010,125cc,Marc Marquez,SPAIN,Derbi
2010,MotoGP,Jorge Lorenzo,SPAIN,Yamaha
2010,Moto2,Toni Elias,SPAIN,Moriwaki
2009,125cc,Julian Simon,SPAIN,Aprilia
2009,250cc,Hiroshi Aoyama,JAPAN,Honda
2009,MotoGP,Valentino Rossi,ITALY,Yamaha
2008,125cc,Mike Di Meglio,FRANCE,Derbi
2008,250cc,Marco Simoncelli,ITALY,Gilera
2008,MotoGP,Valentino Rossi,ITALY,Yamaha
2007,125cc,Gabor Talmacsi,HUNGARY,Aprilia
2007,250cc,Jorge Lorenzo,SPAIN,Aprilia
2007,MotoGP,Casey Stoner,AUSTRALIA,Ducati
2006,125cc,Alvaro Bautista,SPAIN,Aprilia
2006,250cc,Jorge Lorenzo,SPAIN,Aprilia
2006,MotoGP,Nicky Hayden,UNITED STATES,Honda
2005,125cc,Thomas Luthi,SWITZERLAND,Honda
2005,250cc,Dani Pedrosa,SPAIN,Honda
2005,MotoGP,Valentino Rossi,ITALY,Yamaha
2004,125cc,Andrea Dovizioso,ITALY,Honda
2004,250cc,Dani Pedrosa,SPAIN,Honda
2004,MotoGP,Valentino Rossi,ITALY,Yamaha
2003,125cc,Dani Pedrosa,SPAIN,Honda
2003,250cc,Manuel Poggiali,SAN MARINO,Aprilia
2003,MotoGP,Valentino Rossi,ITALY,Honda
2002,125cc,Arnaud Vincent,FRANCE,Aprilia
2002,250cc,Marco Melandri,ITALY,Aprilia
2002,MotoGP,Valentino Rossi,ITALY,Honda
2001,125cc,Manuel Poggiali,SAN MARINO,Gilera
2001,250cc,Daijiro Kato,JAPAN,Honda
2001,500cc,Valentino Rossi,ITALY,Honda
2000,125cc,Roberto Locatelli,ITALY,Aprilia
2000,250cc,Olivier Jacque,FRANCE,Yamaha
